1;1;1;"cb";"EL";"Stab";"ro";"0";"1"
2;1;2;"t";"";"";"ro";"0";"0"
3;1;3;"t";"";"";"ro";"0";"0"
4;1;4;"t";"";"";"ro";"0";"0"
5;2;1;"t";"";"";"ro";"0";"0"
6;2;2;"t";"";"";"ro";"0";"0"
7;2;3;"t";"";"";"ro";"0";"0"
8;2;4;"t";"";"";"ro";"0";"0"
9;3;1;"t";"";"";"ro";"0";"0"
10;3;2;"t";"";"";"ro";"0";"0"
11;3;3;"t";"";"";"ro";"0";"0"
12;3;4;"t";"";"";"ro";"0";"0"
13;4;1;"t";"";"";"ro";"0";"0"
14;4;2;"t";"";"";"ro";"0";"0"
15;4;3;"t";"";"";"ro";"0";"0"
16;4;4;"t";"";"";"ro";"0";"0"
17;5;1;"t";"";"";"ro";"0";"0"
18;5;2;"t";"";"";"ro";"0";"0"
19;5;3;"t";"";"";"ro";"0";"0"
20;5;4;"t";"";"";"ro";"0";"0"
